State,State FIPS,County FIPS,IECC Climate Zone,IECC Moisture Regime,BA Climate Zone,County Name
AL,01,079,3,A,Mixed-Humid,Lawrence
AL,01,081,3,A,Mixed-Humid,Lee
AL,01,083,3,A,Mixed-Humid,Limestone
AL,01,085,3,A,Hot-Humid,Lowndes
AL,01,087,3,A,Hot-Humid,Macon
AL,01,089,3,A,Mixed-Humid,Madison
AL,01,091,3,A,Hot-Humid,Marengo
AL,01,093,3,A,Mixed-Humid,Marion
AL,01,095,3,A,Mixed-Humid,Marshall
AL,01,097,2,A,Hot-Humid,Mobile
AL,01,099,3,A,Hot-Humid,Monroe
AL,01,101,3,A,Hot-Humid,Montgomery
AL,01,103,3,A,Mixed-Humid,Morgan
AL,01,105,3,A,Hot-Humid,Perry
AL,01,107,3,A,Mixed-Humid,Pickens
AL,01,109,3,A,Hot-Humid,Pike
AL,01,111,3,A,Mixed-Humid,Randolph
AL,01,113,3,A,Hot-Humid,Russell
AL,01,117,3,A,Mixed-Humid,Shelby
AL,01,115,3,A,Mixed-Humid,St. Clair
AL,01,119,3,A,Mixed-Humid,Sumter
AL,01,121,3,A,Mixed-Humid,Talladega
AL,01,123,3,A,Mixed-Humid,Tallapoosa
AL,01,125,3,A,Mixed-Humid,Tuscaloosa
AL,01,127,3,A,Mixed-Humid,Walker
AL,01,129,3,A,Hot-Humid,Washington
AL,01,131,3,A,Hot-Humid,Wilcox
AL,01,133,3,A,Mixed-Humid,Winston
AR,05,001,3,A,Mixed-Humid,Arkansas
AR,05,003,3,A,Mixed-Humid,Ashley
AR,05,005,4,A,Mixed-Humid,Baxter
AR,05,007,4,A,Mixed-Humid,Benton
AR,05,009,4,A,Mixed-Humid,Boone
AR,05,011,3,A,Mixed-Humid,Bradley
AR,05,013,3,A,Mixed-Humid,Calhoun
AR,05,015,4,A,Mixed-Humid,Carroll
AR,05,017,3,A,Mixed-Humid,Chicot
AR,05,019,3,A,Mixed-Humid,Clark
AR,05,021,3,A,Mixed-Humid,Clay
AR,05,023,3,A,Mixed-Humid,Cleburne
AR,05,025,3,A,Mixed-Humid,Cleveland
AR,05,027,3,A,Hot-Humid,Columbia
AR,05,029,3,A,Mixed-Humid,Conway
AR,05,031,3,A,Mixed-Humid,Craighead
AR,05,033,3,A,Mixed-Humid,Crawford
AR,05,035,3,A,Mixed-Humid,Crittenden
AR,05,037,3,A,Mixed-Humid,Cross
AR,05,039,3,A,Mixed-Humid,Dallas
AR,05,041,3,A,Mixed-Humid,Desha
AR,05,043,3,A,Mixed-Humid,Drew
AR,05,045,3,A,Mixed-Humid,Faulkner
AR,05,047,3,A,Mixed-Humid,Franklin
AR,05,049,4,A,Mixed-Humid,Fulton
AR,05,051,3,A,Mixed-Humid,Garland
AR,05,053,3,A,Mixed-Humid,Grant
AR,05,055,3,A,Mixed-Humid,Greene
AR,05,057,3,A,Mixed-Humid,Hempstead
AR,05,059,3,A,Mixed-Humid,Hot Spring
AR,05,061,3,A,Mixed-Humid,Howard
AR,05,063,3,A,Mixed-Humid,Independence
AR,05,065,4,A,Mixed-Humid,Izard
AR,05,067,3,A,Mixed-Humid,Jackson
AR,05,069,3,A,Mixed-Humid,Jefferson
AR,05,071,3,A,Mixed-Humid,Johnson
AR,05,073,3,A,Hot-Humid,Lafayette
AR,05,075,3,A,Mixed-Humid,Lawrence
AR,05,077,3,A,Mixed-Humid,Lee
AR,05,079,3,A,Mixed-Humid,Lincoln
AR,05,081,3,A,Hot-Humid,Little River
AR,05,083,3,A,Mixed-Humid,Logan
AR,05,085,3,A,Mixed-Humid,Lonoke
AR,05,087,4,A,Mixed-Humid,Madison
AR,05,089,4,A,Mixed-Humid,Marion
AR,05,091,3,A,Hot-Humid,Miller
AR,05,093,3,A,Mixed-Humid,Mississippi
AR,05,095,3,A,Mixed-Humid,Monroe
AR,05,097,3,A,Mixed-Humid,Montgomery
AR,05,099,3,A,Mixed-Humid,Nevada
AR,05,101,4,A,Mixed-Humid,Newton
AR,05,103,3,A,Mixed-Humid,Ouachita
AR,05,105,3,A,Mixed-Humid,Perry
AR,05,107,3,A,Mixed-Humid,Phillips
AR,05,109,3,A,Mixed-Humid,Pike
AR,05,111,3,A,Mixed-Humid,Poinsett
AR,05,113,3,A,Mixed-Humid,Polk
AR,05,115,3,A,Mixed-Humid,Pope
AR,05,117,3,A,Mixed-Humid,Prairie
AR,05,119,3,A,Mixed-Humid,Pulaski
AR,05,121,3,A,Mixed-Humid,Randolph
AR,05,125,3,A,Mixed-Humid,Saline
AR,05,127,3,A,Mixed-Humid,Scott
AR,05,129,4,A,Mixed-Humid,Searcy
AR,05,131,3,A,Mixed-Humid,Sebastian
AR,05,133,3,A,Mixed-Humid,Sevier
AR,05,135,3,A,Mixed-Humid,Sharp
AR,05,123,3,A,Mixed-Humid,St. Francis
AR,05,137,4,A,Mixed-Humid,Stone
AR,05,139,3,A,Hot-Humid,Union
AR,05,141,3,A,Mixed-Humid,Van Buren
AR,05,143,4,A,Mixed-Humid,Washington
AR,05,145,3,A,Mixed-Humid,White
AR,05,147,3,A,Mixed-Humid,Woodruff
AR,05,149,3,A,Mixed-Humid,Yell
AS,60,010,1,A,Hot-Humid,Eastern District
AS,60,020,1,A,Hot-Humid,Manu'a District
AS,60,030,1,A,Hot-Humid,Rose Island
AS,60,040,1,A,Hot-Humid,Swains Island
AS,60,050,1,A,Hot-Humid,Western District
AZ,04,001,5,B,Cold,Apache
AZ,04,003,3,B,Hot-Dry,Cochise
AZ,04,005,5,B,Cold,Coconino
AZ,04,007,4,B,Mixed-Dry,Gila
AZ,04,009,3,B,Hot-Dry,Graham
AZ,04,011,3,B,Hot-Dry,Greenlee
AZ,04,012,2,B,Hot-Dry,La Paz
AZ,04,013,2,B,Hot-Dry,Maricopa
AZ,04,015,3,B,Hot-Dry,Mohave
AZ,04,017,5,B,Cold,Navajo
AZ,04,019,2,B,Hot-Dry,Pima
AZ,04,021,2,B,Hot-Dry,Pinal
AZ,04,023,3,B,Hot-Dry,Santa Cruz
AZ,04,025,4,B,Mixed-Dry,Yavapai
AZ,04,027,2,B,Hot-Dry,Yuma
CA,06,001,3,C,Marine,Alameda
CA,06,003,6,B,Cold,Alpine
CA,06,005,4,B,Mixed-Dry,Amador
CA,06,007,3,B,Hot-Dry,Butte
CA,06,009,4,B,Mixed-Dry,Calaveras
CA,06,011,3,B,Hot-Dry,Colusa
CA,06,013,3,B,Hot-Dry,Contra Costa
CA,06,015,4,C,Marine,Del Norte
CA,06,017,4,B,Mixed-Dry,El Dorado
CA,06,019,3,B,Hot-Dry,Fresno
CA,06,021,3,B,Hot-Dry,Glenn
CA,06,023,4,C,Marine,Humboldt
CA,06,025,2,B,Hot-Dry,Imperial
CA,06,027,4,B,Mixed-Dry,Inyo
CA,06,029,3,B,Hot-Dry,Kern
CA,06,031,3,B,Hot-Dry,Kings
CA,06,033,4,B,Mixed-Dry,Lake
CA,06,035,5,B,Cold,Lassen
CA,06,037,3,B,Hot-Dry,Los Angeles
CA,06,039,3,B,Hot-Dry,Madera
CA,06,041,3,C,Marine,Marin
CA,06,043,4,B,Mixed-Dry,Mariposa
CA,06,045,3,C,Marine,Mendocino
CA,06,047,3,B,Hot-Dry,Merced
CA,06,049,5,B,Cold,Modoc
CA,06,051,6,B,Cold,Mono
CA,06,053,3,C,Marine,Monterey
CA,06,055,3,C,Marine,Napa
CA,06,057,5,B,Cold,Nevada
CA,06,059,3,B,Hot-Dry,Orange
CA,06,061,3,B,Hot-Dry,Placer
CA,06,063,5,B,Cold,Plumas
CA,06,065,3,B,Hot-Dry,Riverside
CA,06,067,3,B,Hot-Dry,Sacramento
CA,06,069,3,C,Marine,San Benito
CA,06,071,3,B,Hot-Dry,San Bernardino
CA,06,073,3,B,Hot-Dry,San Diego
CA,06,075,3,C,Marine,San Francisco
CA,06,077,3,B,Hot-Dry,San Joaquin
CA,06,079,3,C,Marine,San Luis Obispo
CA,06,081,3,C,Marine,San Mateo
CA,06,083,3,C,Marine,Santa Barbara
CA,06,085,3,C,Marine,Santa Clara
CA,06,087,3,C,Marine,Santa Cruz
CA,06,089,3,B,Hot-Dry,Shasta
CA,06,091,5,B,Cold,Sierra
CA,06,093,5,B,Cold,Siskiyou
CA,06,095,3,B,Hot-Dry,Solano
CA,06,097,3,C,Marine,Sonoma
CA,06,099,3,B,Hot-Dry,Stanislaus
CA,06,101,3,B,Hot-Dry,Sutter
CA,06,103,3,B,Hot-Dry,Tehama
CA,06,105,4,B,Mixed-Dry,Trinity
CA,06,107,3,B,Hot-Dry,Tulare
CA,06,109,4,B,Mixed-Dry,Tuolumne
CA,06,111,3,C,Marine,Ventura
CA,06,113,3,B,Hot-Dry,Yolo
CA,06,115,3,B,Hot-Dry,Yuba
CO,08,001,5,B,Cold,Adams
CO,08,003,6,B,Cold,Alamosa
CO,08,005,5,B,Cold,Arapahoe
CO,08,007,6,B,Cold,Archuleta
CO,08,009,4,B,Mixed-Dry,Baca
CO,08,011,5,B,Cold,Bent
CO,08,013,5,B,Cold,Boulder
CO,08,014,5,B,Cold,Broomfield
CO,08,015,6,B,Cold,Chaffee
CO,08,017,5,B,Cold,Cheyenne
CO,08,019,7,N/A,Very Cold,Clear Creek
CO,08,021,6,B,Cold,Conejos
CO,08,023,6,B,Cold,Costilla
CO,08,025,5,B,Cold,Crowley
CO,08,027,6,B,Cold,Custer
CO,08,029,5,B,Cold,Delta
CO,08,031,5,B,Cold,Denver
CO,08,033,6,B,Cold,Dolores
CO,08,035,5,B,Cold,Douglas
CO,08,037,6,B,Cold,Eagle
CO,08,041,5,B,Cold,El Paso
CO,08,039,5,B,Cold,Elbert
CO,08,043,5,B,Cold,Fremont
CO,08,045,5,B,Cold,Garfield
CO,08,047,5,B,Cold,Gilpin
CO,08,049,7,N/A,Very Cold,Grand
CO,08,051,7,N/A,Very Cold,Gunnison
CO,08,053,7,N/A,Very Cold,Hinsdale
CO,08,055,5,B,Cold,Huerfano
CO,08,057,7,N/A,Very Cold,Jackson
CO,08,059,5,B,Cold,Jefferson
CO,08,061,5,B,Cold,Kiowa
CO,08,063,5,B,Cold,Kit Carson
CO,08,067,5,B,Cold,La Plata
CO,08,065,7,N/A,Very Cold,Lake
CO,08,069,5,B,Cold,Larimer
CO,08,071,4,B,Mixed-Dry,Las Animas
CO,08,073,5,B,Cold,Lincoln
CO,08,075,5,B,Cold,Logan
CO,08,077,5,B,Cold,Mesa
CO,08,079,7,N/A,Very Cold,Mineral
CO,08,081,6,B,Cold,Moffat
CO,08,083,5,B,Cold,Montezuma
CO,08,085,5,B,Cold,Montrose
CO,08,087,5,B,Cold,Morgan
CO,08,089,4,B,Mixed-Dry,Otero
CO,08,091,6,B,Cold,Ouray
CO,08,093,7,N/A,Very Cold,Park
CO,08,095,5,B,Cold,Phillips
CO,08,097,7,N/A,Very Cold,Pitkin
CO,08,099,5,B,Cold,Prowers
CO,08,101,5,B,Cold,Pueblo
CO,08,103,6,B,Cold,Rio Blanco
CO,08,105,7,N/A,Very Cold,Rio Grande
CO,08,107,7,N/A,Very Cold,Routt
CO,08,109,6,B,Cold,Saguache
CO,08,111,7,N/A,Very Cold,San Juan
CO,08,113,6,B,Cold,San Miguel
CO,08,115,5,B,Cold,Sedgwick
CO,08,117,7,N/A,Very Cold,Summit
CO,08,119,5,B,Cold,Teller
CO,08,121,5,B,Cold,Washington
CO,08,123,5,B,Cold,Weld
CO,08,125,5,B,Cold,Yuma
CT,09,001,5,A,Cold,Fairfield
CT,09,003,5,A,Cold,Hartford
CT,09,005,5,A,Cold,Litchfield
CT,09,007,5,A,Cold,Middlesex
CT,09,009,5,A,Cold,New Haven
CT,09,011,5,A,Cold,New London
CT,09,013,5,A,Cold,Tolland
CT,09,015,5,A,Cold,Windham
DC,11,001,4,A,Mixed-Humid,District of Columbia
DE,10,001,4,A,Mixed-Humid,Kent
DE,10,003,4,A,Mixed-Humid,New Castle
DE,10,005,4,A,Mixed-Humid,Sussex
FL,12,001,2,A,Hot-Humid,Alachua
FL,12,003,2,A,Hot-Humid,Baker
FL,12,005,2,A,Hot-Humid,Bay
FL,12,007,2,A,Hot-Humid,Bradford
FL,12,009,2,A,Hot-Humid,Brevard
FL,12,011,1,A,Hot-Humid,Broward
FL,12,013,2,A,Hot-Humid,Calhoun
FL,12,015,2,A,Hot-Humid,Charlotte
FL,12,017,2,A,Hot-Humid,Citrus
FL,12,019,2,A,Hot-Humid,Clay
FL,12,021,2,A,Hot-Humid,Collier
FL,12,023,2,A,Hot-Humid,Columbia
FL,12,027,2,A,Hot-Humid,DeSoto
FL,12,029,2,A,Hot-Humid,Dixie
FL,12,031,2,A,Hot-Humid,Duval
FL,12,033,2,A,Hot-Humid,Escambia
FL,12,035,2,A,Hot-Humid,Flagler
FL,12,037,2,A,Hot-Humid,Franklin
FL,12,039,2,A,Hot-Humid,Gadsden
FL,12,041,2,A,Hot-Humid,Gilchrist
FL,12,043,2,A,Hot-Humid,Glades
FL,12,045,2,A,Hot-Humid,Gulf
FL,12,047,2,A,Hot-Humid,Hamilton
FL,12,049,2,A,Hot-Humid,Hardee
FL,12,051,2,A,Hot-Humid,Hendry
FL,12,053,2,A,Hot-Humid,Hernando
FL,12,055,2,A,Hot-Humid,Highlands
FL,12,057,2,A,Hot-Humid,Hillsborough
FL,12,059,2,A,Hot-Humid,Holmes
FL,12,061,2,A,Hot-Humid,Indian River
FL,12,063,2,A,Hot-Humid,Jackson
FL,12,065,2,A,Hot-Humid,Jefferson
FL,12,067,2,A,Hot-Humid,Lafayette
FL,12,069,2,A,Hot-Humid,Lake
FL,12,071,2,A,Hot-Humid,Lee
FL,12,073,2,A,Hot-Humid,Leon
FL,12,075,2,A,Hot-Humid,Levy
FL,12,077,2,A,Hot-Humid,Liberty
FL,12,079,2,A,Hot-Humid,Madison
FL,12,081,2,A,Hot-Humid,Manatee
FL,12,083,2,A,Hot-Humid,Marion
FL,12,085,2,A,Hot-Humid,Martin
FL,12,086,1,A,Hot-Humid,Miami-Dade
FL,12,087,1,A,Hot-Humid,Monroe
FL,12,089,2,A,Hot-Humid,Nassau
FL,12,091,2,A,Hot-Humid,Okaloosa
FL,12,093,2,A,Hot-Humid,Okeechobee
FL,12,095,2,A,Hot-Humid,Orange
FL,12,097,2,A,Hot-Humid,Osceola
FL,12,099,2,A,Hot-Humid,Palm Beach
FL,12,101,2,A,Hot-Humid,Pasco
FL,12,103,2,A,Hot-Humid,Pinellas
FL,12,105,2,A,Hot-Humid,Polk
FL,12,107,2,A,Hot-Humid,Putnam
FL,12,113,2,A,Hot-Humid,Santa Rosa
FL,12,115,2,A,Hot-Humid,Sarasota
FL,12,117,2,A,Hot-Humid,Seminole
FL,12,109,2,A,Hot-Humid,St. Johns
FL,12,111,2,A,Hot-Humid,St. Lucie
FL,12,119,2,A,Hot-Humid,Sumter
FL,12,121,2,A,Hot-Humid,Suwannee
FL,12,123,2,A,Hot-Humid,Taylor
FL,12,125,2,A,Hot-Humid,Union
FL,12,127,2,A,Hot-Humid,Volusia
FL,12,129,2,A,Hot-Humid,Wakulla
FL,12,131,2,A,Hot-Humid,Walton
FL,12,133,2,A,Hot-Humid,Washington
GA,13,001,2,A,Hot-Humid,Appling
GA,13,003,2,A,Hot-Humid,Atkinson
GA,13,005,2,A,Hot-Humid,Bacon
GA,13,007,2,A,Hot-Humid,Baker
GA,13,009,3,A,Mixed-Humid,Baldwin
GA,13,011,4,A,Mixed-Humid,Banks
GA,13,013,3,A,Mixed-Humid,Barrow
GA,13,015,3,A,Mixed-Humid,Bartow
GA,13,017,3,A,Hot-Humid,Ben Hill
GA,13,019,2,A,Hot-Humid,Berrien
GA,13,021,3,A,Mixed-Humid,Bibb
GA,13,023,3,A,Hot-Humid,Bleckley
GA,13,025,2,A,Hot-Humid,Brantley
GA,13,027,2,A,Hot-Humid,Brooks
GA,13,029,2,A,Hot-Humid,Bryan
GA,13,031,3,A,Hot-Humid,Bulloch
GA,13,033,3,A,Mixed-Humid,Burke
GA,13,035,3,A,Mixed-Humid,Butts
GA,13,037,3,A,Hot-Humid,Calhoun
GA,13,039,2,A,Hot-Humid,Camden
GA,13,043,3,A,Hot-Humid,Candler
GA,13,045,3,A,Mixed-Humid,Carroll
GA,13,047,4,A,Mixed-Humid,Catoosa
GA,13,049,2,A,Hot-Humid,Charlton
GA,13,051,2,A,Hot-Humid,Chatham
GA,13,053,3,A,Hot-Humid,Chattahoochee
GA,13,055,4,A,Mixed-Humid,Chattooga
GA,13,057,3,A,Mixed-Humid,Cherokee
GA,13,059,3,A,Mixed-Humid,Clarke
GA,13,061,3,A,Hot-Humid,Clay
GA,13,063,3,A,Mixed-Humid,Clayton
GA,13,065,2,A,Hot-Humid,Clinch
GA,13,067,3,A,Mixed-Humid,Cobb
GA,13,069,3,A,Hot-Humid,Coffee
GA,13,071,2,A,Hot-Humid,Colquitt
GA,13,073,3,A,Mixed-Humid,Columbia
GA,13,075,2,A,Hot-Humid,Cook
GA,13,077,3,A,Mixed-Humid,Coweta
GA,13,079,3,A,Mixed-Humid,Crawford
GA,13,081,3,A,Hot-Humid,Crisp
GA,13,083,4,A,Mixed-Humid,Dade
GA,13,085,4,A,Mixed-Humid,Dawson
GA,13,087,2,A,Hot-Humid,Decatur
GA,13,089,3,A,Mixed-Humid,DeKalb
GA,13,091,3,A,Hot-Humid,Dodge
GA,13,093,3,A,Hot-Humid,Dooly
GA,13,095,3,A,Hot-Humid,Dougherty
GA,13,097,3,A,Mixed-Humid,Douglas
GA,13,099,3,A,Hot-Humid,Early
GA,13,101,2,A,Hot-Humid,Echols
GA,13,103,2,A,Hot-Humid,Effingham
GA,13,105,3,A,Mixed-Humid,Elbert
GA,13,107,3,A,Hot-Humid,Emanuel
GA,13,109,2,A,Hot-Humid,Evans
GA,13,111,4,A,Mixed-Humid,Fannin
GA,13,113,3,A,Mixed-Humid,Fayette
GA,13,115,4,A,Mixed-Humid,Floyd
GA,13,117,3,A,Mixed-Humid,Forsyth
GA,13,119,4,A,Mixed-Humid,Franklin
GA,13,121,3,A,Mixed-Humid,Fulton
GA,13,123,4,A,Mixed-Humid,Gilmer
GA,13,125,3,A,Mixed-Humid,Glascock
GA,13,127,2,A,Hot-Humid,Glynn
GA,13,129,4,A,Mixed-Humid,Gordon
GA,13,131,2,A,Hot-Humid,Grady
GA,13,133,3,A,Mixed-Humid,Greene
GA,13,135,3,A,Mixed-Humid,Gwinnett
GA,13,137,4,A,Mixed-Humid,Habersham
GA,13,139,4,A,Mixed-Humid,Hall
GA,13,141,3,A,Mixed-Humid,Hancock
GA,13,143,3,A,Mixed-Humid,Haralson
GA,13,145,3,A,Mixed-Humid,Harris
GA,13,147,3,A,Mixed-Humid,Hart
GA,13,149,3,A,Mixed-Humid,Heard
GA,13,151,3,A,Mixed-Humid,Henry
GA,13,153,3,A,Hot-Humid,Houston
GA,13,155,3,A,Hot-Humid,Irwin
GA,13,157,3,A,Mixed-Humid,Jackson
GA,13,159,3,A,Mixed-Humid,Jasper
GA,13,161,2,A,Hot-Humid,Jeff Davis
GA,13,163,3,A,Mixed-Humid,Jefferson
GA,13,165,3,A,Hot-Humid,Jenkins
GA,13,167,3,A,Hot-Humid,Johnson
GA,13,169,3,A,Mixed-Humid,Jones
GA,13,171,3,A,Mixed-Humid,Lamar
GA,13,173,2,A,Hot-Humid,Lanier
GA,13,175,3,A,Hot-Humid,Laurens
GA,13,177,3,A,Hot-Humid,Lee
GA,13,179,2,A,Hot-Humid,Liberty
GA,13,181,3,A,Mixed-Humid,Lincoln
GA,13,183,2,A,Hot-Humid,Long
GA,13,185,2,A,Hot-Humid,Lowndes
GA,13,187,4,A,Mixed-Humid,Lumpkin
GA,13,193,3,A,Hot-Humid,Macon
GA,13,195,3,A,Mixed-Humid,Madison
GA,13,197,3,A,Hot-Humid,Marion
GA,13,189,3,A,Mixed-Humid,McDuffie
GA,13,191,2,A,Hot-Humid,McIntosh
GA,13,199,3,A,Mixed-Humid,Meriwether
GA,13,201,2,A,Hot-Humid,Miller
GA,13,205,2,A,Hot-Humid,Mitchell
GA,13,207,3,A,Mixed-Humid,Monroe
GA,13,209,3,A,Hot-Humid,Montgomery
GA,13,211,3,A,Mixed-Humid,Morgan
GA,13,213,4,A,Mixed-Humid,Murray
GA,13,215,3,A,Mixed-Humid,Muscogee
GA,13,217,3,A,Mixed-Humid,Newton
GA,13,219,3,A,Mixed-Humid,Oconee
GA,13,221,3,A,Mixed-Humid,Oglethorpe
GA,13,223,3,A,Mixed-Humid,Paulding
GA,13,225,3,A,Hot-Humid,Peach
GA,13,227,4,A,Mixed-Humid,Pickens
GA,13,229,2,A,Hot-Humid,Pierce
GA,13,231,3,A,Mixed-Humid,Pike
GA,13,233,3,A,Mixed-Humid,Polk
GA,13,235,3,A,Hot-Humid,Pulaski
GA,13,237,3,A,Mixed-Humid,Putnam
GA,13,239,3,A,Hot-Humid,Quitman
GA,13,241,4,A,Mixed-Humid,Rabun
GA,13,243,3,A,Hot-Humid,Randolph
GA,13,245,3,A,Mixed-Humid,Richmond
GA,13,247,3,A,Mixed-Humid,Rockdale
GA,13,249,3,A,Hot-Humid,Schley
GA,13,251,3,A,Hot-Humid,Screven
GA,13,253,2,A,Hot-Humid,Seminole
GA,13,255,3,A,Mixed-Humid,Spalding
GA,13,257,4,A,Mixed-Humid,Stephens
GA,13,259,3,A,Hot-Humid,Stewart
GA,13,261,3,A,Hot-Humid,Sumter
GA,13,263,3,A,Mixed-Humid,Talbot
GA,13,265,3,A,Mixed-Humid,Taliaferro
GA,13,267,2,A,Hot-Humid,Tattnall
GA,13,269,3,A,Hot-Humid,Taylor
GA,13,271,3,A,Hot-Humid,Telfair
GA,13,273,3,A,Hot-Humid,Terrell
GA,13,275,2,A,Hot-Humid,Thomas
GA,13,277,3,A,Hot-Humid,Tift
GA,13,279,2,A,Hot-Humid,Toombs
GA,13,281,4,A,Mixed-Humid,Towns
GA,13,283,3,A,Hot-Humid,Treutlen
GA,13,285,3,A,Mixed-Humid,Troup
GA,13,287,3,A,Hot-Humid,Turner
GA,13,289,3,A,Hot-Humid,Twiggs
GA,13,291,4,A,Mixed-Humid,Union
GA,13,293,3,A,Mixed-Humid,Upson
GA,13,295,4,A,Mixed-Humid,Walker
GA,13,297,3,A,Mixed-Humid,Walton
GA,13,299,2,A,Hot-Humid,Ware
GA,13,301,3,A,Mixed-Humid,Warren
GA,13,303,3,A,Mixed-Humid,Washington
GA,13,305,2,A,Hot-Humid,Wayne
GA,13,307,3,A,Hot-Humid,Webster
GA,13,309,3,A,Hot-Humid,Wheeler
GA,13,311,4,A,Mixed-Humid,White
GA,13,313,4,A,Mixed-Humid,Whitfield
GA,13,315,3,A,Hot-Humid,Wilcox
GA,13,317,3,A,Mixed-Humid,Wilkes
GA,13,319,3,A,Mixed-Humid,Wilkinson
GA,13,321,3,A,Hot-Humid,Worth
GU,66,010,1,A,Hot-Humid,Guam
HI,15,001,1,A,Hot-Humid,Hawaii
HI,15,003,1,A,Hot-Humid,Honolulu
HI,15,005,1,A,Hot-Humid,Kalawao
HI,15,007,1,A,Hot-Humid,Kauai
HI,15,009,1,A,Hot-Humid,Maui
IA,19,001,5,A,Cold,Adair
IA,19,003,5,A,Cold,Adams
IA,19,005,6,A,Cold,Allamakee
IA,19,007,5,A,Cold,Appanoose
IA,19,009,5,A,Cold,Audubon
IA,19,011,5,A,Cold,Benton
IA,19,013,6,A,Cold,Black Hawk
IA,19,015,5,A,Cold,Boone
IA,19,017,6,A,Cold,Bremer
IA,19,019,6,A,Cold,Buchanan
IA,19,021,6,A,Cold,Buena Vista
IA,19,023,6,A,Cold,Butler
IA,19,025,6,A,Cold,Calhoun
IA,19,027,5,A,Cold,Carroll
IA,19,029,5,A,Cold,Cass
IA,19,031,5,A,Cold,Cedar
IA,19,033,6,A,Cold,Cerro Gordo
IA,19,035,6,A,Cold,Cherokee
IA,19,037,6,A,Cold,Chickasaw
IA,19,039,5,A,Cold,Clarke
IA,19,041,6,A,Cold,Clay
IA,19,043,6,A,Cold,Clayton
IA,19,045,5,A,Cold,Clinton
IA,19,047,6,A,Cold,Crawford
IA,19,049,5,A,Cold,Dallas
